duration,start_time,end_time,start_station_id,start_station,end_station_id,end_station,bike_id,user_type
574,2019-01-01 03:17:15,2019-01-01 03:26:49,31018,Friedrichshain,31003,Potsdamer Platz,B0303,Member
300,2019-01-01 10:01:05,2019-01-01 10:06:05,31017,Wedding,31020,Steglitz,B0014,Member
817,2019-01-01 13:45:41,2019-01-01 13:59:18,31009,Hauptbahnhof,31001,Alexanderplatz,B0389,Casual
705,2019-01-01 18:44:27,2019-01-01 18:56:12,31005,Hackescher Markt,31007,Kottbusser Tor,B0491,Member
483,2019-01-01 17:06:05,2019-01-01 17:14:08,31009,Hauptbahnhof,31002,Brandenburger Tor,B0374,Member
742,2019-01-01 11:07:59,2019-01-01 11:20:21,31018,Friedrichshain,31010,Prenzlauer Berg,B0425,Member
626,2019-01-01 15:56:55,2019-01-01 16:07:21,31008,Zoologischer Garten,31010,Prenzlauer Berg,B0041,Member
671,2019-01-01 18:55:06,2019-01-01 19:06:17,31015,Schöneberg,31012,Neukölln,B0084,Member
866,2019-01-01 09:13:42,2019-01-01 09:28:08,31020,Steglitz,31006,Warschauer Straße,B0274,Member
487,2019-01-01 17:10:29,2019-01-01 17:18:36,31018,Friedrichshain,31008,Zoologischer Garten,B0351,Member
757,2019-01-01 08:49:49,2019-01-01 09:02:26,31013,Charlottenburg,31009,Hauptbahnhof,B0034,Member
549,2019-01-01 07:36:56,2019-01-01 07:46:05,31007,Kottbusser Tor,31016,Tiergarten,B0203,Casual
811,2019-01-01 19:41:29,2019-01-01 19:55:00,31018,Friedrichshain,31009,Hauptbahnhof,B0383,Member
854,2019-01-01 14:57:37,2019-01-01 15:11:51,31008,Zoologischer Garten,31005,Hackescher Markt,B0261,Member
1335,2019-01-01 11:48:03,2019-01-01 12:10:18,31014,Mitte,31020,Steglitz,B0033,Casual
696,2019-01-01 09:38:29,2019-01-01 09:50:05,31018,Friedrichshain,31001,Alexanderplatz,B0349,Member
569,2019-01-01 17:43:56,2019-01-01 17:53:25,31004,Friedrichstraße,31010,Prenzlauer Berg,B0223,Member
1769,2019-01-01 07:00:46,2019-01-01 07:30:15,31009,Hauptbahnhof,31017,Wedding,B0391,Casual
1028,2019-01-01 07:58:06,2019-01-01 08:15:14,31020,Steglitz,31007,Kottbusser Tor,B0079,Casual
1744,2019-01-01 09:10:34,2019-01-01 09:39:38,31017,Wedding,31001,Alexanderplatz,B0307,Casual
1746,2019-01-01 08:01:07,2019-01-01 08:30:13,31010,Prenzlauer Berg,31008,Zoologischer Garten,B0030,Casual
339,2019-01-01 08:36:05,2019-01-01 08:41:44,31016,Tiergarten,31003,Potsdamer Platz,B0390,Member
713,2019-01-01 12:08:08,2019-01-01 12:20:01,31017,Wedding,31020,Steglitz,B0217,Member
1121,2019-01-01 21:59:34,2019-01-01 22:18:15,31007,Kottbusser Tor,31010,Prenzlauer Berg,B0205,Casual
499,2019-01-01 23:41:23,2019-01-01 23:49:42,31008,Zoologischer Garten,31003,Potsdamer Platz,B0174,Member
588,2019-01-01 02:35:14,2019-01-01 02:45:02,31001,Alexanderplatz,31003,Potsdamer Platz,B0363,Member
1297,2019-01-01 15:14:04,2019-01-01 15:35:41,31008,Zoologischer Garten,31009,Hauptbahnhof,B0343,Casual
1081,2019-01-01 11:34:08,2019-01-01 11:52:09,31019,Tempelhof,31019,Tempelhof,B0243,Casual
843,2019-01-01 08:30:51,2019-01-01 08:44:54,31012,Neukölln,31014,Mitte,B0211,Member
763,2019-01-01 11:46:03,2019-01-01 11:58:46,31004,Friedrichstraße,31002,Brandenburger Tor,B0207,Member
688,2019-01-01 17:51:55,2019-01-01 18:03:23,31005,Hackescher Markt,31014,Mitte,B0094,Member
1662,2019-01-01 08:15:55,2019-01-01 08:43:37,31015,Schöneberg,31018,Friedrichshain,B0051,Casual
878,2019-01-01 05:34:53,2019-01-01 05:49:31,31008,Zoologischer Garten,31006,Warschauer Straße,B0209,Member
785,2019-01-01 11:13:55,2019-01-01 11:27:00,31002,Brandenburger Tor,31006,Warschauer Straße,B0195,Member
1271,2019-01-01 00:24:16,2019-01-01 00:45:27,31018,Friedrichshain,31016,Tiergarten,B0080,Casual
440,2019-01-01 07:13:03,2019-01-01 07:20:23,31018,Friedrichshain,31002,Brandenburger Tor,B0383,Member
815,2019-01-01 08:03:37,2019-01-01 08:17:12,31002,Brandenburger Tor,31017,Wedding,B0042,Member
480,2019-01-01 18:04:38,2019-01-01 18:12:38,31008,Zoologischer Garten,31013,Charlottenburg,B0062,Member
680,2019-01-01 20:36:15,2019-01-01 20:47:35,31019,Tempelhof,31019,Tempelhof,B0268,Member
620,2019-01-01 08:16:13,2019-01-01 08:26:33,31011,Kreuzberg,31008,Zoologischer Garten,B0136,Member
465,2019-01-01 09:42:41,2019-01-01 09:50:26,31003,Potsdamer Platz,31001,Alexanderplatz,B0235,Member
905,2019-01-01 15:36:06,2019-01-01 15:51:11,31007,Kottbusser Tor,31017,Wedding,B0136,Member
